[2018-12-07 12:20:04,037] [INFO] [bogon][installapp.py - line:40] 安装app命令:adb -s 192.168.56.101:5555 install /Users/xinxi/Downloads/QQMusic72282.apk
[2018-12-07 12:20:04,700] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:05,095] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:05,456] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:05,799] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:06,048] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:06,287] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:06,533] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:06,868] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:07,195] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:07,535] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:07,876] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:08,202] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:08,516] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:08,915] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:09,151] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:09,379] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:09,612] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:09,847] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:10,083] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:10,327] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:10,587] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:10,811] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:11,047] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:11,452] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:11,727] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:11,987] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:12,239] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:12,471] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:12,739] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:12,971] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:20:12,972] [INFO] [bogon][installapp.py - line:60] app安装超过最长时间:30!
[2018-12-07 12:20:12,972] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/install_app.log文件完成
